SampleID,Items
1,"clear_water,dark_water,mixed_trash,partially_clogged,slow_flow"
2,"backflow,clear_water,clogged,mixed_trash"
3,"clear_water,light_trash,no_trash,normal_flow,partially_clogged"
4,"backflow,clogged,debris_spread,foam_present,mixed_trash"
5,"debris_spread,no_trash,normal_flow,partially_clogged"
6,"clear_water,clogged,fast_flow,heavy_trash,light_trash"
7,"backflow,clogged,foam_present,heavy_trash"
8,"debris_spread,fast_flow,foam_present,mixed_trash,partially_clogged"
9,"dark_water,mixed_trash,partially_clogged,slow_flow"
10,"clear_water,no_trash,partially_clogged,slow_flow"
11,"dark_water,no_trash,partially_clogged,plastic_trash,slow_flow"
12,"dark_water,fast_flow,light_trash,partially_clogged"
13,"dark_water,light_trash,partially_clogged,plastic_trash,slow_flow"
14,"dark_water,debris_spread,no_trash,partially_clogged,slow_flow"
15,"dark_water,organic_trash,partially_clogged,slow_flow"
16,"clogged,dark_water,plastic_trash,stagnant_flow"
17,"debris_spread,mixed_trash,partially_clogged,slow_flow"
18,"backflow,clear_water,clogged,debris_spread,light_trash,plastic_trash"
19,"clear_water,clogged,light_trash,no_trash,stagnant_flow"
20,"backflow,clogged,foam_present,organic_trash"
21,"fast_flow,foam_present,no_trash,partially_clogged"
22,"clogged,debris_spread,foam_present,heavy_trash,normal_flow,plastic_trash"
23,"backflow,clear_water,clogged,organic_trash"
24,"backflow,clogged,dark_water,heavy_trash"
25,"backflow,clear_water,clogged,organic_trash"
26,"clear_water,clogged,dark_water,heavy_trash,plastic_trash,slow_flow"
27,"dark_water,debris_spread,fast_flow,no_trash,partially_clogged"
28,"backflow,clogged,debris_spread,organic_trash"
29,"foam_present,normal_flow,organic_trash,partially_clogged"
30,"clogged,dark_water,debris_spread,mixed_trash,stagnant_flow"
31,"backflow,clogged,dark_water,no_trash,organic_trash"
32,"clean,clear_water,dark_water,fast_flow,mixed_trash,no_trash"
33,"clogged,dark_water,debris_spread,heavy_trash,light_trash,slow_flow"
34,"backflow,clogged,debris_spread,mixed_trash"
35,"clogged,foam_present,no_trash,plastic_trash,stagnant_flow"
36,"clear_water,fast_flow,foam_present,partially_clogged,plastic_trash"
37,"backflow,clogged,dark_water,debris_spread,light_trash,no_trash"
38,"clogged,debris_spread,fast_flow,heavy_trash"
39,"backflow,clear_water,clogged,mixed_trash,organic_trash"
40,"clogged,dark_water,light_trash,plastic_trash,stagnant_flow"
41,"clogged,foam_present,no_trash,stagnant_flow"
42,"backflow,clogged,debris_spread,foam_present,mixed_trash,plastic_trash"
43,"backflow,clear_water,clogged,light_trash"
44,"backflow,clear_water,clogged,dark_water,no_trash,plastic_trash"
45,"dark_water,debris_spread,light_trash,no_trash,normal_flow,partially_clogged"
46,"backflow,clear_water,clogged,organic_trash"
47,"foam_present,organic_trash,partially_clogged,slow_flow"
48,"debris_spread,light_trash,partially_clogged,slow_flow"
49,"backflow,clear_water,clogged,dark_water,no_trash,organic_trash"
50,"clogged,dark_water,fast_flow,heavy_trash,organic_trash"
51,"backflow,clogged,foam_present,light_trash"
52,"backflow,clogged,foam_present,mixed_trash"
53,"clear_water,foam_present,no_trash,normal_flow,partially_clogged"
54,"foam_present,mixed_trash,partially_clogged,slow_flow"
55,"clear_water,debris_spread,mixed_trash,partially_clogged,slow_flow"
56,"clear_water,dark_water,no_trash,partially_clogged,slow_flow"
57,"debris_spread,mixed_trash,normal_flow,partially_clogged"
58,"clear_water,fast_flow,partially_clogged,plastic_trash"
59,"backflow,clear_water,clogged,mixed_trash"
60,"clogged,dark_water,foam_present,organic_trash,stagnant_flow"
61,"dark_water,no_trash,normal_flow,partially_clogged"
62,"clogged,dark_water,heavy_trash,stagnant_flow"
63,"debris_spread,foam_present,light_trash,normal_flow,partially_clogged"
64,"clear_water,foam_present,normal_flow,partially_clogged,plastic_trash"
65,"clogged,dark_water,debris_spread,plastic_trash,stagnant_flow"
66,"clear_water,clogged,heavy_trash,light_trash,normal_flow"
67,"foam_present,no_trash,partially_clogged,plastic_trash,slow_flow"
68,"backflow,clogged,foam_present,plastic_trash"
69,"dark_water,no_trash,partially_clogged,slow_flow"
70,"clogged,foam_present,heavy_trash,organic_trash,stagnant_flow"
71,"backflow,clear_water,clogged,heavy_trash"
72,"clear_water,clogged,no_trash,organic_trash,stagnant_flow"
73,"foam_present,normal_flow,organic_trash,partially_clogged"
74,"backflow,clogged,foam_present,mixed_trash"
75,"foam_present,no_trash,partially_clogged,slow_flow"
76,"clogged,dark_water,debris_spread,heavy_trash,slow_flow"
77,"foam_present,mixed_trash,normal_flow,partially_clogged"
78,"clogged,foam_present,light_trash,no_trash,stagnant_flow"
79,"backflow,clogged,debris_spread,plastic_trash"
80,"dark_water,foam_present,mixed_trash,no_trash,partially_clogged,slow_flow"
81,"clear_water,debris_spread,light_trash,mixed_trash,normal_flow,partially_clogged"
82,"debris_spread,fast_flow,organic_trash,partially_clogged"
83,"clogged,debris_spread,mixed_trash,stagnant_flow"
84,"clear_water,fast_flow,light_trash,partially_clogged"
85,"backflow,clogged,dark_water,debris_spread,light_trash,mixed_trash"
86,"clogged,foam_present,no_trash,stagnant_flow"
87,"backflow,clogged,debris_spread,plastic_trash"
88,"debris_spread,normal_flow,organic_trash,partially_clogged"
89,"debris_spread,light_trash,partially_clogged,slow_flow"
90,"clogged,dark_water,foam_present,heavy_trash,slow_flow"
91,"debris_spread,light_trash,normal_flow,organic_trash,partially_clogged"
92,"clogged,foam_present,mixed_trash,plastic_trash,stagnant_flow"
93,"clear_water,clogged,plastic_trash,stagnant_flow"
94,"foam_present,no_trash,organic_trash,partially_clogged,slow_flow"
95,"backflow,clogged,dark_water,plastic_trash"
96,"clogged,debris_spread,fast_flow,heavy_trash"
97,"debris_spread,mixed_trash,normal_flow,partially_clogged"
98,"clear_water,clogged,debris_spread,organic_trash,stagnant_flow"
99,"clear_water,foam_present,light_trash,normal_flow,partially_clogged"
100,"debris_spread,light_trash,partially_clogged,slow_flow"
